nome,latitude,longitude,descricao,telefone
Ilha da Pesca,-20.27923614151278,-40.29326057550902," Shopping Victoria Mall, lojas 04, 06, 07 e 08",(27) 99312-5052
CHI CAO AGROPECUARIA LTDA - NITERÓI/RJ,-22.90472060431568,-43.05204110426951,"Estr. Caetano Monteiro, 1131 - Badu, Niterói - RJ, 24320-570",(21) 97042-3209
Marlin Pesca & Lazer,-23.689564657665542,-46.59377444657497,"R. Antônio Dias Adorno, 341 - Vila Nogueira, Diadema - SP",(11) 94154-0592
Encontro das Aguas,-3.7665744000022916,-38.51184307762204,"Rua Tenente Barbosa, 446 - Aerolândia, Fortaleza - CE, 60851-490",(85)32575485
ITAFISHING LTDA,-26.073030374183865,-48.609290346497126,"Av. André Rodrigues de Freitas, 576 - Itapema do Norte, Itapoá - SC, 89249-000",(47) 30594002
Loja Toca do urso - ARTIGOS DE PESCA,-20.8763668378204,-45.51487593316351,"R. Antônio Francisco da Silva, 501 - centro, Cristais - MG, 37275-000",(35) 991266914
CAOMILAO COMERCIO DE RACAO ANIMAL LTDA,-22.360136558908312,-42.73778634916101,"Av. Antônio Carlos Jobim, 32 - lj 02 - Ponta Negra, Maricá - RJ, 24923-005",(21) 26481922
CENTRAL DA PESCA,-26.288319703560504,-48.58557753362289,"Av. Oscar Vieira, 1203 - Cedros, Camboriú - SC, 88341-188",(47)9933-9472
Sniper Pesca,-3.7581150328232833,-38.48782580461021,"Av. Washington Soares, 450 - Edson Queiroz, Fortaleza - CE, 60810-300",(85)99170-7878
Salles,-29.584016832767798,-51.08924649054647,"Av. Florestal, 1099 - Centro, Dois Irmãos - RS, 93950-000",(51) 35645587
Loja família da pesca,-23.497092436713316,-46.45662588121129,"Av. Ten. Laudelino F.do Amaral, 106 - Vila Jacuí, São Paulo - SP, 08060-000",(11) 948739545
CAMPANA CAÇA E PESCA,-26.340604924167728,-49.90585783299373,"Av. Getúlio Vargas, 477 - Centro, Itaiópolis - SC, 89340-000",(47) 996409968
O Rei da praia,-22.43123977086426,-42.61211566118865,"R. 13, 1837 - loja 2 Altura da rua 83 - Jaconé, Saquarema - RJ, 28998-842",(22) 99754-9219
Marinas Pesca Itanhaém-Angelita,-24.185740655404484,-46.79594010160908,"Rua Urcezino Ferreira, 646 - Boca da Barra, Itanhaém - SP, 11740-000",(13) 99791-0050
MARQUES ARTS DE CACA E PESCA LTDA,-2.5331180038337733,-44.301259404615564,"R. Jacinto Maia, 461 - Centro, São Luís - MA, 65010-280",(51) 98046-1987
MAGNOBAITS,-23.603511710311647,-46.309946790753976,"R. Maria de Souza Assis - Jardim Nova America, Suzano - SP, 08655-765",(11) 958124860
Caça E Pesca do Porto - CLAUDETE,-30.0255924942648,-51.2232316905294,"Rua Chaves Barcellos, 161 - Centro Histórico, Porto Alegre - RS, 90030-120",(51) 32111577
PESCA VITORIA LTDA,-19.33807713547996,-40.13391508841328,"Av. José Moreira Martins Rato, 1238 - De Fátima, Serra - ES, 29160-790",(27) 99951123
Trinity Artigos de Pesca,0.5576386247120848,-48.61556483449157,"Rua Maximiano S Cardoso, 1426 - Santa Rosa, Abaetetuba - PA, 68440-000",(91) 99249-0889
